Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,,
1,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For gain,8,3,5,3,,,,,,,
2,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Over Property Dispute,2,5,0,2,,,,,,,
3,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Personal Vendetta or enemity,2,6,1,1,,,,,,,
4,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Sexual jealousy,2,4,1,1,,,,,,,
5,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by burning,0,0,0,0,,,,,,,
6,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by other means,2,0,1,1,,,,,,,
7,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Communalism,0,0,0,0,,,,,,,
8,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Casteism,0,0,0,0,,,,,,,
9,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Witch Craft (Sorcery),0,0,0,0,,,,,,,
10,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For Human Sacrifice,0,0,0,0,,,,,,,
11,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Terrorism/Naxalism / Extremism,0,0,0,0,,,,,,,
12,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For Political Reasons,0,0,0,0,,,,,,,
13,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Adultery,2,2,2,0,,,,,,,
14,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Civil Disputes,5,7,4,1,,,,,,,
15,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Electoral Gain,0,0,0,0,,,,,,,
16,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Gang Rivalry,0,0,0,0,,,,,,,
17,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Love Intrigue,2,1,0,2,,,,,,,
18,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Professional ,0,0,0,0,,,,,,,
19,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Psychopathic/Serial Killer/Lunacy,0,0,0,0,,,,,,,
20,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Rape with Murder,4,1,2,2,,,,,,,
21,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Revenge/Enemity,3,0,2,1,,,,,,,
22,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Sudden Quarrel,10,12,5,5,,,,,,,
23,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Village Dispute,0,0,0,0,,,,,,,
24,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Custodial,0,0,0,0,,,,,,,
25,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Other Causes,131,61,77,54,,,,,,,
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Gain ,5,0,4,1,,,,,,,
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Over Property Dispute,5,4,3,2,,,,,,,
